"Country","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018"
"Austria","9.5","8.9","9.4","9.6","10.3","10.6","11.3","9.8","9.2"
"Belgium","22.4","18.8","19.8","23.7","23.2","22.1","20.1","19.2","17.6"
"Bulgaria","21.9","25.1","28.1","28.4","23.8","21.6","17.2","12.9","13.5"
"Croatia","32.2","36.6","42.0","50.0","45.6","42.4","31.4","27.4","25.5"
"Cyprus","15.6","20.9","26.5","37.0","34.4","31.3","27.9","24.0","18.1"
"Czechia","18.4","18.1","19.5","19.0","15.9","12.6","10.5","7.9","8.0"
"Denmark","14.0","14.2","14.1","13.0","12.6","10.8","11.9","11.0","9.2"
"Estonia","32.9","22.4","20.9","18.7","15.0","13.1","13.4","12.1","11.5"
"Finland","21.3","19.9","18.9","19.8","20.4","22.3","20.0","20.0","17.3"
"France","22.4","21.8","23.6","24.0","24.1","24.6","24.5","22.1","20.9"
"Germany","9.8","8.5","8.0","7.8","7.7","7.2","7.0","6.8","6.4"
"Greece","32.9","44.6","55.2","58.2","52.4","49.8","47.3","43.5","39.5"
"Hungary","26.5","26.0","28.2","26.5","20.3","17.2","12.9","10.7","10.3"
"Ireland","28.3","29.7","30.9","26.9","23.6","20.5","17.0","14.6","13.5"
"Italy","28.0","29.3","35.5","40.3","42.9","40.5","37.9","34.8","31.5"
"Latvia","36.1","31.0","28.5","23.2","19.6","16.3","17.2","16.9","14.7"
"Lithuania","35.7","32.6","26.7","21.9","19.3","16.3","14.4","13.2","12.5"
"Luxembourg","14.2","16.7","18.6","15.4","22.0","17.2","18.7","15.3","14.7"
"Malta","13,2", "13.3","14.1","13.0","11.8","11.8","11.0","11.2","10.2"
"Netherlands","8.7","10.0","11.7","13.2","12.7","11.3","10.8","8.9","7.0"
"Poland","23.6","25.7","26.4","27.2","23.8","20.7","17.6","14.8","11.4"
"Portugal","22.7","30.3","38.0","38.2","34.8","32.0","28.0","23.9","20.3"
"Romania","21.8","23.7","22.4","23.6","23.9","21.5","20.5","18.3","15.3"
"Slovakia","33.7","33.5","34.1","33.7","29.7","26.5","22.2","18.9","18.2"
"Slovenia","14.7","15.8","20.7","21.7","20.2","16.3","15.3","11.3","10.2"
"Spain","41.7","46.4","53.1","55.7","53.4","48.5","44.6","38.7","34.3"
"Sweden","24.7","22.7","23.5","23.4","22.6","20.2","18.8","17.8","17.0"
